id,fr_set,n_seed,fitness,prop_seed_preyed,year,var,skew,kurt,avFD_v,n_fl_std,avFD_std,var_std,skew_std,kurt_std,fitness_rel,n_fl,n_mat_intact_fr,prop_seeds_escpred,n_fl_log,n_fl_log_std,npr_seeds,pr_seeds
1:60,0,0,0,NA,1987,0.2925208299999999,-0.09114547719353,1.5,70.6428,-0.7920216704385368,-6.918326525580296e-4,-0.6215800158102961,-0.6994214400963036,-0.7545181917839333,0,3,0,NA,1.0986122886681098,-0.995024503204607,0,0
1:61,0,0,0,NA,1987,0.5964382347619048,0.6958303741154249,1.9810002191334883,75.06445714285715,-0.19167054370743913,1.0233947462498971,-0.09380128312584632,0.4845927161243163,-0.31435698272391766,0,7,0,NA,1.9459101490553132,0.13859365071571503,0,0
1:62,0.4,29,29,0,1987,2.215924948444444,1.269984965768927,2.9639683765548397,69.40888,0.25859280134088414,-0.2864762954937434,2.718576790503363,1.3484148565954777,0.5851529040231479,4.5984634546226655,10,4,1,2.302585092994046,0.6157967812803146,29,0
1:64,0.3,13,13,0,1987,0.3789417506666667,0.2749152056252727,1.5069377640084736,66.65048,0.25859280134088414,-0.9253409401231562,-0.4715026484985771,-0.14867896207445375,-0.7481694741063322,2.0613801693136087,10,3,1,2.302585092994046,0.6157967812803146,13,0
1:65,0,0,0,NA,1987,0.2919781224999999,-1.1547005383792508,2.333333333333332,71.6697,-0.6419338887557624,0.23714535686670765,-0.6225224740969241,-2.299552176343778,0.00806151807731527,0,4,0,NA,1.3862943611198906,-0.6101284293024175,0,0
1:66,0.6,18,18,0,1987,0.3463650750000003,-0.408248290463863,1.1666666666666667,75.3292,-0.491846107072988,1.0847110351662062,-0.5280748497908825,-1.1765062442424226,-1.059550075728433,2.854218695972689,5,3,1,1.6094379124341003,-0.3115798402803232,18,0
1:67,0.25,15,15,0,1987,0.8611636176250002,2.077056796791702,7.27474267616882,65.328475,1.159119491437531,-1.231526502232824,0.3659171301264216,2.562663643808535,4.529923721635502,2.378515579977241,16,4,1,2.772588722239781,1.2446248138188571,15,0
1:68,0,0,0,NA,1987,0,NA,NA,72.7504,-0.7920216704385368,0.48744300095422455,-1.129567615474595,NA,NA,0,3,0,NA,1.0986122886681098,-0.995024503204607,0,0
1:69,0.2222222222222222,14,14,0,1987,0.4146295202777778,-0.427766623541915,2.570078750798021,71.15622222222223,0.10850501965810971,0.11822032858034612,-0.4095277647881731,-1.2058717992741363,0.2247062201907589,2.219947874645425,9,2,1,2.1972245773362196,0.4748326660144782,14,0
1:107,0.07692307692307693,3,3,0,1987,0.691149118076923,0.7700583990745461,2.4430522514839432,71.74326153846154,0.7088561463892075,0.25418272132712844,0.0706723178730351,0.5962696274218064,0.10846482300081511,0.4757031159954482,13,1,1,2.5649493574615367,0.966819611674791,3,0
1:70,0,0,0,NA,1987,0.0625,1.1547005383792517,2.3333333333333335,75.5484,-0.6419338887557624,1.1354792812881491,-1.021030985864257,1.1749681189425625,0.00806151807731649,0,4,0,NA,1.3862943611198906,-0.6101284293024175,0,0
1:71,0.25,3,3,0,1987,0.468183416666667,0,1.5852457611981934,73.8994,-0.6419338887557624,0.7535594005624017,-0.3165268141233524,-0.5622920287006083,-0.6765101663742297,0.4757031159954482,4,1,1,1.3862943611198906,-0.6101284293024175,3,0
1:73,0,0,0,NA,1987,0.16860624499999988,NA,NA,69.589,-0.9421094521213113,-0.24475924945595012,-0.8367683584577164,NA,NA,0,2,0,NA,0.6931471805599453,-1.537505050863055,0,0
1:81,0.3,16,16,0,1987,0.9245357951111112,-0.28767650875664885,2.288186215570265,71.11128,0.25859280134088414,0.10781139701536067,0.4759683710129921,-0.9951046216327362,-0.03325241308048261,2.537083285309057,10,3,1,2.302585092994046,0.6157967812803146,16,0
1:82,0.38461538461538464,36,36,0,1987,1.8733921342307696,0.45723369855451934,1.8317821027443737,68.89615384615385,0.7088561463892075,-0.4052272424445587,2.123739075532221,0.12562129276816983,-0.45090583220638153,5.708437391945378,13,5,1,2.5649493574615367,0.966819611674791,36,0
1:83,0.25,9,9,0,1987,0.26159589583333354,-0.5606033946219895,1.7084668603754831,75.4739,-0.6419338887557624,1.1182245626016312,-0.675283825816241,-1.4057262384717886,-0.5637510743029472,1.4271093479863446,4,1,1,1.3862943611198906,-0.6101284293024175,9,0
1:84,0.631578947368421,63,63,0,1987,1.3977038321052635,1.722418585621633,4.959876605699563,65.08915789473684,1.609382836485854,-1.286954009993731,1.2976653946079535,2.0291064048364404,2.411599845972185,9.989765435904411,19,12,1,2.9444389791664403,1.4745469936280988,63,0
1:76,0.25,8,8,0,1987,0.8252744992857143,0.3184518980064802,1.760033922619566,66.99889999999999,-0.0415827620246647,-0.8446444423411886,0.30359258701869896,-0.08317751116127309,-0.5165622798655597,1.2685416426545284,8,2,1,2.0794415416798357,0.31724819225821965,8,0
1:75,0.16666666666666666,9,9,0,1987,1.160391494666667,-0.2127981112720244,2.294145878288103,71.02266666666667,-0.34175832539021356,0.08728793206849707,0.8855520942793689,-0.8824492174428248,-0.02779875164099464,1.4271093479863446,6,1,1,1.791759469228055,-0.0676478816439698,9,0
1:74,0,0,0,NA,1987,0.1703033306666666,-0.07168320542758853,1.961948637107257,68.86853333333333,-0.34175832539021356,-0.4116243455142943,-0.8338212231229961,-0.6701402299489277,-0.3317910025966712,0,6,0,NA,1.791759469228055,-0.0676478816439698,0,0
1:108,0.14285714285714285,5,5,0,1987,0.7676104666666663,-0.04319248267350779,1.9302307924827609,77.9368,-0.19167054370743913,1.6886493498905593,0.20345403101530585,-0.6272756121773904,-0.3608158642980784,0.7928385266590803,7,1,1,1.9459101490553132,0.13859365071571503,5,0
